cache_size,cache_size_bytes,n_queries,unused,cache_hits,cache_misses,miss_ratio
1,87856,1719469062,1736147930,1146312708,573156354,0.3333333333333333
2,175712,1719469062,1736147930,1146312708,573156354,0.3333333333333333
8,702848,1719469062,1736147930,1717933062,1536000,0.0008932990037130426
16,1405696,1719469062,1736147930,1717933062,1536000,0.0008932990037130426
128,11245568,1719469062,1736147930,1717933087,1535975,0.0008932844643412375
512,44982272,1719469062,1736147930,1717934175,1534887,0.0008926517108802741
1024,89964544,1719469062,1736147930,1717934820,1534242,0.0008922765950876992
1536,134946816,1719469062,1736147930,1717935843,1533219,0.0008916816439934294
2048,179929088,1719469062,1736147930,1717936077,1532985,0.0008915455554733325
3072,269893632,1719469062,1736147930,1719421734,47328,2.7524775551908128e-05
4096,359858176,1719469062,1736147930,1719462971,6091,3.542372546625093e-06
8192,719716352,1719469062,1736147930,1719463272,5790,3.3673185100901806e-06
